# GeneMark.hmm-2 LST format
# GeneMark.hmm-2 prokaryotic version: 1.06
# File with sequence: tmpseq.fna
# File with native parameters: itr_1.mod
# File with MetaGeneMark parameters: /home/karl/repos/repos-gms2/bin/mgm_11.mod
#
# translation table: 11
# output date start: Sun Oct 28 17:19:54 2018

# sequence-region 1 4411532
SequenceID: anydef
     1   +   <1    1524    1524 nativebacarc native
  3063   +    3346147    3346848     702 nativebacarc  0 3 native
  3064   -    3346859    3347719     861 nativebacarc  0 3 native
  3065   +    3347982    3348473     492 nativebacarc  0 3 native
  3066   -    3348805    3350277    1473 nativebacarc  0 3 native
  3067   -    3350274    3351071     798 nativebacarc  0 3 native
  3068   +    3351269    3352606    1338 nativebacarc  0 3 native
  3069   -    3352458    3353468    1011 nativebacarc  0 3 native
  3070   -    3353483    3355069    1587 nativebacarc  0 3 native
  3071   +    3355099    3356541    1443 nativebacarc  0 3 native
  3072   -    3356733    3356933     201 native  0 3 native
  3073   +    3356932    3357276     345 nativebac  0 3 native
  3074   +    3357252    3357554     303 bac  0 3 atypical
  3075   +    3357587    3358567     981 nativebacarc  0 3 native
  3076   +    3358612    3359271     660 nativebac  0 3 native
  3077   -    3359585    3360598    1014 nativebacarc  0 3 native
  3078   -    3360624    3361130     507 nativebacarc  0 3 native
  3079   -    3361130    3362986    1857 nativebacarc  0 3 native
  3080   +    3363309    3363686     378 nativebacarc  0 3 native
  3081   -    3363693    3364478     786 nativebacarc  0 3 native
  3082   +    3364646    3365830    1185 nativebacarc  0 3 native
  3083   -    3365836    3366450     615 nativebacarc  0 3 native
  3084   +    3366698    3367267     570 nativebacarc  0 3 native
  3085   -    3367264    3368793    1530 nativebacarc  0 3 native
  3086   -    3368823    3369854    1032 nativebacarc  0 3 native
  3087   -    3369950    3371434    1485 nativebacarc  0 3 native
  3088   -    3371431    3371730     300 nativebacarc  0 3 native
  3089   +    3371806    3372471     666 nativebacarc  0 3 native
  3090   -    3372545    3374620    2076 nativebacarc  0 3 native
  3091   -    3374651    3375664    1014 nativebacarc  0 3 native
  3092   +    3375758    3376387     630 nativebacarc  0 3 native
  3093   -    3376939    3378243    1305 nativebacarc  0 3 native
  3094   -    3378329    3378448     120 native  0 3 native
  3095   -    3378495    3378662     168 native  0 3 native
  3096   -    3378711    3379001     291 nativebac  0 3 native
  3097   -    3379036    3379329     294 nativebac  0 3 native
  3098   -    3379376    3380452    1077 nativebacarc  0 3 native
  3099   -    3380679    3381020     342 nativebacarc  0 3 native
  3100   -    3381375    3382622    1248 nativebacarc  0 3 native
  3101   -    3382785    3383888    1104 nativebacarc  0 3 native
  3102   -    3383885    3385066    1182 nativebacarc  0 3 native
  3103   -    3385163    3386077     915 nativebac  0 3 native
  3104   -    3386074    3386919     846 nativebacarc  0 3 native
  3105   -    3387075    3388031     957 nativebacarc  0 3 native
  3106   -    3388070    3388870     801 nativebacarc  0 3 native
  3107   +    3389179    3389925     747 nativebacarc  0 3 native
  3108   +    3389922    3391502    1581 nativebacarc  0 3 native
  3109   +    3391534    3392778    1245 nativebacarc  0 3 native
  3110   +    3392812    3393201     390 nativebac  0 3 native
  3111   +    3393380    3393928     549 nativebacarc  0 3 native
  3112   -    3394019    3394756     738 nativebacarc  0 3 native
  3113   +    3395454    3396461    1008 nativebacarc  0 3 native
  3114   -    3396458    3397141     684 nativebacarc  0 3 native
  3115   -    3397214    3398290    1077 nativebacarc  0 3 native
  3116   -    3398425    3399408     984 nativebacarc  0 3 native
  3117   -    3399419    3400204     786 nativebacarc  0 3 native
  3118   -    3400192    3400998     807 nativebacarc  0 3 native
  3119   -    3401055    3401918     864 nativebacarc  0 3 native
  3120   -    3401933    3403162    1230 nativebacarc  0 3 native
  3121   -    3403200    3404921    1722 nativebacarc  0 3 native
  3122   +    3405232    3406215     984 nativebacarc  0 3 native
  3123   +    3406285    3407325    1041 nativebacarc  0 3 native
  3124   -    3407314    3407688     375 nativebacarc  0 3 native
  3125   -    3408022    3408306     285 nativebacarc  0 3 native
  3126   -    3408404    3409378     975 nativebacarc  0 3 native
  3127   -    3409509    3411083    1575 nativebacarc  0 3 native
  3128   -    3411217    3411915     699 nativebacarc  0 3 native
  3129   -    3412085    3414166    2082 nativebacarc  0 3 native
  3130   -    3414232    3414684     453 nativebacarc  0 3 native
  3131   -    3414719    3414958     240 nativebacarc  0 3 native
  3132   -    3415435    3415989     555 nativebacarc  0 3 native
  3133   +    3416228    3416695     468 nativebac  0 3 native
  3134   +    3416705    3417745    1041 nativebacarc  0 3 native
  3135   -    3417799    3418662     864 nativebacarc  0 3 native
  3136   -    3418726    3419406     681 nativebacarc  0 3 native
  3137   +    3419492    3420970    1479 nativebacarc  0 3 native
  3138   -    3421741    3423213    1473 nativebacarc  0 3 native
  3139   -    3423262    3425427    2166 nativebacarc  0 3 native
  3140   +    3425599    3427107    1509 nativebacarc  0 3 native
  3141   +    3427237    3429519    2283 nativebacarc  0 3 native
  3142   -    3429825    3430250     426 nativebacarc  0 3 native
  3143   +    3430387    3430710     324 nativebacarc  0 3 native
  3144   +    3430707    3431315     609 nativebacarc  0 3 native
  3145   +    3431293    3431838     546 nativebacarc  0 3 native
  3146   -    3431979    3433622    1644 nativebacarc  0 3 native
  3147   +    3433692    3434090     399 nativebac  0 3 native
  3148   +    3434087    3434467     381 nativebacarc  0 3 native
  3149   +    3434464    3435573    1110 nativebacarc  0 3 native
  3150   -    3435798    3436295     498 nativebac  0 3 native
  3151   -    3436329    3436685     357 nativebacarc  0 3 native
  3152   +    3436779    3438053    1275 nativebacarc  0 3 native
  3153   -    3438050    3438973     924 nativebacarc  0 3 native
  3154   +    3439072    3439548     477 nativebacarc  0 3 native
  3155   +    3439541    3441352    1812 nativebacarc  0 3 native
  3156   +    3441353    3441754     402 nativebacarc  0 3 atypical
  3157   -    3441770    3442597     828 nativebacarc  0 3 native
  3158   -    3442656    3445988    3333 nativebacarc  0 3 native
  3159   +    3446040    3447278    1239 nativebacarc  0 3 native
  3160   -    3447404    3448426    1023 nativebacarc  0 3 native
  3161   +    3448504    3449991    1488 nativebacarc  0 3 native
  3162   +    3449997    3450923     927 nativebacarc  0 3 native
  3163   +    3450920    3451750     831 nativebacarc  0 3 native
  3164   +    3451781    3452887    1107 nativebacarc  0 3 native
  3165   +    3452922    3454343    1422 nativebacarc  0 3 atypical
  3166   +    3454340    3455764    1425 nativebacarc  0 3 atypical
  3167   +    3455761    3457272    1512 nativebacarc  0 3 native
  3168   +    3458211    3459098     888 nativebacarc  0 3 native
  3169   +    3459116    3460807    1692 nativebacarc  0 3 native
  3170   -    3460814    3461734     921 nativebacarc  0 3 native
  3171   -    3461760    3462764    1005 nativebacarc  0 3 native
  3172   -    3462761    3463891    1131 nativebacarc  0 3 native
  3173   +    3463973    3464449     477 nativebacarc  0 3 native
  3174   +    3464547    3465686    1140 nativebacarc  0 3 native
  3175   -    3465778    3467091    1314 nativebacarc  0 3 native
  3176   +    3467412    3467612     201 nativebacarc  0 3 atypical
  3177   +    3467606    3467926     321 nativebac  0 3 native
  3178   -    3468413    3469264     852 nativebacarc  0 3 native
  3179   -    3469301    3469783     483 nativebacarc  0 3 native
  3180   -    3469786    3470679     894 nativebacarc  0 3 native
  3181   -    3470680    3471369     690 nativebacarc  0 3 native
  3182   -    3471413    3471850     438 nativebac  0 3 native
  3183   -    3471852    3472832     981 nativebacarc  0 3 native
  3184   -    3472768    3473904    1137 nativebacarc  0 3 native
  3185   +    3474007    3475377    1371 nativebacarc  0 3 native
  3186   -    3475378    3476961    1584 nativebacarc  0 3 native
  3187   -    3476972    3477175     204 nativebac  0 3 native
  3188   +    3477781    3478728     948 bacarc  0 3 atypical
  3189   +    3478746    3479174     429 nativebacarc  0 3 atypical
  3190   +    3479171    3479683     513 bacarc  0 3 atypical
  3191   +    3479700    3479951     252 bac  0 3 atypical
  3192   +    3480074    3480742     669 nativebacarc  0 3 atypical
  3193   +    3480726    3481289     564 nativebac  0 3 atypical
  3194   +    3481451    3482698    1248 nativebacarc  0 3 native
  3195   +    3482788    3483945    1158 nativebacarc  0 3 atypical
  3196   +    3483974    3484807     834 nativebacarc  0 3 native
  3197   +    3484809    3485111     303 nativebacarc  0 3 native
  3198   +    3485132    3485575     444 nativebac  0 3 atypical
  3199   +    3485572    3486174     603 nativebac  0 3 native
  3200   +    3486761    3487711     951 nativebacarc  0 3 native
  3201   +    3488134    3488559     426 nativebac  0 3 native
  3202   +    3488731    3489063     333 nativebac  0 3 native
  3203   +    3489506    3490375     870 bac  0 3 atypical
  3204   -    3490476    3491651    1176 nativebac  0 3 native
  3205   +    3492102    3493181    1080 nativebac  0 3 native
  3206   -    3493168    3493506     339 nativebacarc  0 3 native
  3207   -    3493600    3494181     582 nativebacarc  0 3 native
  3208   -    3494317    3494424     108 native  0 3 native
  3209   +    3494660    3494992     333 nativebac  0 3 atypical
  3210   -    3494975    3496366    1392 nativebacarc  0 3 native
  3211   +    3496515    3497549    1035 nativebacarc  0 3 native
  3212   -    3497529    3499265    1737 nativebacarc  0 3 native
  3213   -    3499262    3499915     654 nativebacarc  0 3 native
  3214   -    3499943    3500749     807 nativebac  0 3 native
  3215   +    3501334    3501732     399 nativebac  0 3 native
  3216   +    3501794    3502936    1143 nativebacarc  0 3 native
  3217   -    3502945    3503277     333 nativebac  0 3 native
  3218   +    3503393    3504175     783 nativebacarc  0 3 native
  3219   +    3504339    3505283     945 nativebacarc  0 3 native
  3220   +    3505363    3506769    1407 nativebacarc  0 3 native
  3221   +    3506790    3507995    1206 nativebacarc  0 3 native
  3222   +    3508095    3509066     972 nativebacarc  0 3 native
  3223   -    3509118    3509645     528 nativebacarc  0 3 atypical
  3224   +    3509654    3510055     402 nativebacarc  0 3 native
  3225   -    3510088    3511317    1230 nativebac  0 3 native
  3226   +    3511577    3512068     492 nativebacarc  0 3 native
  3227   +    3512077    3512631     555 nativebacarc  0 3 native
  3228   +    3512628    3513338     711 nativebacarc  0 3 native
  3229   +    3513338    3514660    1323 nativebacarc  0 3 native
  3230   +    3514657    3515415     759 nativebacarc  0 3 native
  3231   +    3515412    3516749    1338 nativebacarc  0 3 native
  3232   +    3516746    3519166    2421 nativebacarc  0 3 native
  3233   +    3519252    3520514    1263 nativebacarc  0 3 native
  3234   +    3520639    3521142     504 nativebacarc  0 3 native
  3235   +    3521139    3521927     789 nativebacarc  0 3 native
  3236   +    3521924    3522223     300 nativebacarc  0 3 native
  3237   +    3522234    3524135    1902 nativebacarc  0 3 native
  3238   +    3524141    3525793    1653 nativebacarc  0 3 native
  3239   +    3525790    3527385    1596 nativebacarc  0 3 native
  3240   -    3527391    3529163    1773 nativebacarc  0 3 native
  3241   -    3529338    3529979     642 nativebacarc  0 3 native
  3242   -    3529990    3531138    1149 nativebacarc  0 3 native
  3243   -    3531208    3531645     438 nativebacarc  0 3 native
  3244   -    3531642    3532913    1272 nativebacarc  0 3 native
  3245   -    3532943    3533899     957 nativebacarc  0 3 native
  3246   -    3533913    3534395     483 nativebacarc  0 3 native
  3247   -    3534392    3535300     909 nativebacarc  0 3 native
  3248   -    3535431    3536057     627 nativebacarc  0 3 native
  3249   +    3536159    3537238    1080 nativebacarc  0 3 native
  3250   +    3537238    3538362    1125 nativebacarc  0 3 native
  3251   +    3538487    3539851    1365 nativebacarc  0 3 native
  3252   -    3539846    3540745     900 nativebacarc  0 3 native
  3253   -    3540988    3541167     180 native  0 3 native
  3254   -    3541443    3541979     537 nativebacarc  0 3 native
  3255   +    3542138    3542845     708 nativebacarc  0 3 native
  3256   +    3542866    3544347    1482 nativebacarc  0 3 native
  3257   -    3544344    3545300     957 nativebacarc  0 3 atypical
  3258   +    3545447    3546307     861 nativebacarc  0 3 native
  3259   +    3546438    3546797     360 nativebac  0 3 native
  3260   +    3547618    3548907    1290 nativebacarc  0 3 native
  3261   -    3549254    3549688     435 nativebac  0 3 native
  3262   -    3549691    3549939     249 native  0 3 native
  3263   +    3550374    3550718     345 nativebacarc  0 3 atypical
  3264   +    3550715    3551044     330 nativebacarc  0 3 atypical
  3265   +    3551281    3551607     327 nativebac  0 3 native
  3266   +    3551658    3552542     885 nativebacarc  0 3 native
  3267   +    3552764    3553090     327 nativebac  0 3 native
  3268   +    3553141    3554025     885 nativebacarc  0 3 native
  3269   +    3554298    3554645     348 nativebacarc  0 3 atypical
  3270   +    3554954    3555262     309 nativebac  0 3 native
  3271   -    3555422    3556687    1266 nativebacarc  0 3 atypical
  3272   +    3556855    3557064     210 nativebac  0 3 atypical
  3273   +    3557099    3557284     186 nativebac  0 3 atypical
  3274   -    3557311    3558345    1035 nativebac  0 3 native
  3275   +    3559560    3560024     465 nativebac  0 3 native
  3276   -    3560194    3563148    2955 nativebacarc  0 3 native
  3277   -    3563264    3564271    1008 nativebacarc  0 3 native
  3278   +    3564364    3565782    1419 nativebacarc  0 3 native
  3279   +    3565863    3566687     825 nativebac  0 3 native
  3280   -    3566696    3566869     174 nativebac  0 3 native
  3281   +    3567024    3568367    1344 nativebacarc  0 3 native
  3282   -    3569109    3571220    2112 nativebacarc  0 3 native
  3283   +    3571335    3571589     255 nativebacarc  0 3 native
  3284   -    3571602    3572543     942 nativebacarc  0 3 native
  3285   -    3572602    3573669    1068 nativebacarc  0 3 native
  3286   -    3573731    3577036    3306 nativebacarc  0 3 native
  3287   -    3577033    3580200    3168 nativebacarc  0 3 native
  3288   +    3580286    3580495     210 nativebacarc  0 3 native
  3289   +    3580638    3581312     675 nativebacarc  0 3 native
  3290   +    3581315    3581620     306 nativebac  0 3 native
  3291   -    3581627    3582505     879 nativebacarc  0 3 native
  3292   -    3582532    3583710    1179 nativebacarc  0 3 native
  3293   -    3583801    3584829    1029 nativebacarc  0 3 native
  3294   +    3585004    3585690     687 nativebacarc  0 3 native
  3295   -    3585677    3585964     288 nativebacarc  0 3 native
  3296   -    3586156    3586518     363 native  0 3 native
  3297   +    3586586    3586834     249 nativebacarc  0 3 atypical
  3298   -    3586844    3587539     696 nativebacarc  0 3 native
  3299   +    3587798    3589381    1584 nativebacarc  0 3 native
  3300   +    3589394    3590617    1224 nativebacarc  0 3 native
  3301   -    3590692    3591492     801 nativebacarc  0 3 native
  3302   +    3591646    3592257     612 nativebacarc  0 3 native
  3303   +    3592425    3593372     948 nativebacarc  0 3 native
  3304   +    3593520    3593852     333 nativebac  0 3 native
  3305   -    3593804    3594235     432 nativebac  0 3 native
  3306   +    3594468    3595433     966 nativebacarc  0 3 native
  3307   +    3595713    3595967     255 nativebac  0 3 atypical
  3308   -    3596029    3597534    1506 nativebacarc  0 3 native
  3309   -    3597551    3597790     240 nativebacarc  0 3 native
  3310   +    3597952    3598041      90 native  0 3 native
  3311   -    3598051    3598356     306 native  0 3 native
  3312   -    3598353    3598877     525 nativebacarc  0 3 native
  3313   -    3598901    3599668     768 nativebacarc  0 3 native
  3314   +    3599851    3600699     849 nativebacarc  0 3 native
  3315   +    3600816    3601019     204 nativebac  0 3 native
  3316   -    3601016    3602440    1425 nativebacarc  0 3 native
  3317   -    3602564    3603322     759 nativebacarc  0 3 native
  3318   +    3603425    3604729    1305 nativebacarc  0 3 native
  3319   +    3604726    3605718     993 nativebacarc  0 3 native
  3320   -    3605751    3607034    1284 nativebacarc  0 3 native
  3321   -    3607112    3608254    1143 nativebacarc  0 3 native
  3322   -    3608364    3608873     510 nativebacarc  0 3 native
  3323   -    3608870    3609736     867 nativebacarc  0 3 native
  3324   -    3609781    3610383     603 nativebacarc  0 3 native
  3325   -    3610374    3611177     804 nativebacarc  0 3 native
  3326   +    3611390    3611941     552 nativebac  0 3 native
  3327   -    3611959    3613116    1158 nativebacarc  0 3 native
  3328   -    3613121    3613603     483 nativebacarc  0 3 native
  3329   -    3613664    3614398     735 nativebacarc  0 3 native
  3330   -    3614457    3617603    3147 nativebacarc  0 3 native
  3331   -    3617682    3620531    2850 nativebacarc  0 3 native
  3332   -    3620610    3621254     645 nativebacarc  0 3 native
  3333   -    3621570    3622211     642 nativebacarc  0 3 native
  3334   -    3622249    3623037     789 nativebac  0 3 native
  3335   -    3623159    3624910    1752 nativebacarc  0 3 native
  3336   -    3624910    3626559    1650 nativebacarc  0 3 native
  3337   -    3626663    3627349     687 nativebacarc  0 3 native
  3338   -    3627419    3628063     645 nativebacarc  0 3 native
  3339   -    3628160    3629647    1488 nativebacarc  0 3 native
  3340   -    3629752    3630357     606 nativebacarc  0 3 native
  3341   -    3630384    3630566     183 nativebac  0 3 native
  3342   -    3630571    3630741     171 nativebacarc  0 3 atypical
  3343   -    3630738    3631988    1251 nativebacarc  0 3 native
  3344   -    3632097    3633566    1470 nativebacarc  0 3 native
  3345   +    3633639    3635063    1425 nativebacarc  0 3 native
  3346   -    3635041    3636267    1227 nativebacarc  0 3 native
  3347   -    3636275    3637315    1041 nativebacarc  0 3 native
  3348   -    3637312    3638709    1398 nativebacarc  0 3 native
  3349   -    3638811    3639203     393 native  0 3 native
  3350   +    3639425    3639844     420 nativebacarc  0 3 native
  3351   -    3639872    3640159     288 nativebac  0 3 native
  3352   +    3640543    3641538     996 nativebacarc  0 3 native
  3353   +    3641535    3642881    1347 nativebacarc  0 3 native
  3354   +    3643249    3644838    1590 nativebacarc  0 3 native
  3355   -    3644898    3645977    1080 nativebacarc  0 3 native
  3356   -    3645979    3646902     924 nativebacarc  0 3 native
  3357   -    3646895    3647809     915 nativebacarc  0 3 native
  3358   +    3647888    3649381    1494 nativebacarc  0 3 native
  3359   +    3649369    3650109     741 nativebacarc  0 3 native
  3360   +    3650234    3650515     282 nativebacarc  0 3 native
  3361   +    3650526    3652682    2157 nativebacarc  0 3 native
  3362   -    3652679    3653347     669 nativebacarc  0 3 native
  3363   +    3653448    3654632    1185 nativebacarc  0 3 native
  3364   +    3654661    3656931    2271 nativebacarc  0 3 native
  3365   -    3656920    3658089    1170 nativebacarc  0 3 native
  3366   -    3658114    3658638     525 nativebacarc  0 3 native
  3367   -    3658635    3659924    1290 nativebacarc  0 3 native
  3368   +    3660025    3660696     672 nativebacarc  0 3 native
  3369   -    3660651    3661169     519 nativebacarc  0 3 native
  3370   -    3661212    3662012     801 nativebacarc  0 3 native
  3371   +    3662062    3663708    1647 nativebacarc  0 3 native
  3372   +    3663740    3664222     483 nativebac  0 3 atypical
  3373   +    3664219    3664887     669 nativebacarc  0 3 native
  3374   +    3664928    3665821     894 nativebacarc  0 3 native
  3375   +    3665818    3666249     432 nativebacarc  0 3 native
  3376   +    3666357    3668159    1803 nativebacarc  0 3 native
  3377   -    3668169    3668954     786 nativebacarc  0 3 native
  3378   -    3668951    3669388     438 nativebacarc  0 3 native
  3379   -    3669586    3669897     312 nativebacarc  0 3 native
  3380   -    3670034    3670411     378 nativebac  0 3 native
  3381   -    3670445    3671713    1269 nativebacarc  0 3 native
  3382   -    3671845    3672297     453 nativebacarc  0 3 atypical
  3383   +    3672328    3673575    1248 nativebacarc  0 3 native
  3384   +    3673602    3675086    1485 nativebacarc  0 3 native
  3385   -    3675186    3675935     750 nativebacarc  0 3 native
  3386   +    3676066    3676731     666 nativebacarc  0 3 native
  3387   +    3676775    3681316    4542 nativebacarc  0 3 native
  3388   +    3681320    3682087     768 nativebacarc  0 3 native
  3389   -    3682110    3683009     900 nativebacarc  0 3 native
  3390   -    3683051    3685960    2910 nativebacarc  0 3 native
  3391   -    3685983    3686867     885 nativebacarc  0 3 native
  3392   -    3686912    3687577     666 nativebacarc  0 3 native
  3393   -    3687685    3689442    1758 nativebacarc  0 3 native
  3394   -    3689457    3690935    1479 nativebacarc  0 3 native
  3395   +    3691141    3691620     480 nativebacarc  0 3 native
  3396   -    3691639    3692808    1170 nativebacarc  0 3 native
  3397   -    3692805    3693989    1185 nativebacarc  0 3 native
  3398   +    3694054    3694860     807 nativebacarc  0 3 native
  3399   +    3694864    3696468    1605 nativebacarc  0 3 native
  3400   -    3696470    3697093     624 nativebacarc  0 3 native
  3401   +    3697198    3698097     900 nativebacarc  0 3 native
  3402   +    3698121    3699383    1263 nativebacarc  0 3 native
  3403   -    3699404    3700330     927 nativebacarc  0 3 native
  3404   -    3700356    3700526     171 nativebac  0 3 native
  3405   -    3700705    3701016     312 nativebac  0 3 native
  3406   -    3701087    3702184    1098 nativebacarc  0 3 native
  3407   -    3702184    3703467    1284 nativebacarc  0 3 native
  3408   -    3703464    3703865     402 nativebac  0 3 native
  3409   +    3704102    3704440     339 nativebacarc  0 3 native
  3410   +    3704437    3704871     435 nativebacarc  0 3 native
  3411   +    3705024    3706772    1749 nativebacarc  0 3 native
  3412   +    3706772    3707563     792 nativebacarc  0 3 native
  3413   -    3707642    3708070     429 nativebacarc  0 3 native
  3414   -    3708074    3708316     243 nativebac  0 3 atypical
  3415   -    3708438    3709052     615 nativebacarc  0 3 native
  3416   -    3709049    3709714     666 nativebacarc  0 3 native
  3417   -    3709715    3710248     534 nativebacarc  0 3 native
  3418   +    3710433    3710759     327 nativebac  0 3 native
  3419   +    3710810    3711694     885 nativebacarc  0 3 native
  3420   +    3711749    3713461    1713 nativebacarc  0 3 native
  3421   -    3713394    3714341     948 nativebacarc  0 3 native
  3422   +    3714392    3715708    1317 nativebacarc  0 3 native
  3423   +    3715777    3716994    1218 nativebacarc  0 3 native
  3424   +    3717118    3717222     105 native  0 3 native
  3425   +    3717315    3718598    1284 nativebacarc  0 3 native
  3426   +    3718595    3719746    1152 nativebacarc  0 3 native
  3427   -    3719937    3720782     846 nativebacarc  0 3 native
  3428   +    3721257    3721697     441 nativebacarc  0 3 native
  3429   -    3721731    3722600     870 nativebacarc  0 3 native
  3430   -    3722621    3723631    1011 nativebacarc  0 3 native
  3431   +    3723904    3724548     645 nativebacarc  0 3 native
  3432   -    3724615    3725844    1230 nativebacarc  0 3 native
  3433   +    3726127    3727476    1350 nativebacarc  0 3 native
  3434   +    3727488    3728627    1140 nativebacarc  0 3 native
  3435   +    3728645    3729355     711 nativebacarc  0 3 native
  3436   -    3729364    3736935    7572 nativebacarc  0 3 native
  3437   -    3736984    3738000    1017 nativebacarc  0 3 native
  3438   -    3738158    3742768    4611 nativebacarc  0 3 native
  3439   -    3743198    3743455     258 nativebacarc  0 3 native
  3440   -    3743711    3753184    9474 nativebacarc  0 3 native
  3441   +    3753765    3754256     492 nativebacarc  0 3 native
  3442   -    3754293    3755033     741 nativebac  0 3 native
  3443   -    3755328    3755564     237 nativebac  0 3 atypical
  3444   -    3755952    3767129   11178 nativebacarc  0 3 native
  3445   -    3767346    3768035     690 nativebacarc  0 3 native
  3446   -    3768222    3768593     372 nativebacarc  0 3 native
  3447   -    3768736    3768996     261 nativebac  0 3 native
  3448   +    3769111    3769500     390 nativebacarc  0 3 native
  3449   -    3769514    3769807     294 nativebacarc  0 3 native
  3450   -    3769804    3770721     918 nativebacarc  0 3 native
  3451   +    3770773    3771048     276 nativebacarc  0 3 native
  3452   +    3771045    3771302     258 nativebacarc  0 3 native
  3453   +    3771344    3772534    1191 nativebacarc  0 3 native
  3454   +    3772756    3773019     264 nativebac  0 3 native
  3455   -    3773016    3773567     552 nativebac  0 3 native
  3456   -    3773574    3774155     582 nativebacarc  0 3 native
  3457   -    3774136    3774525     390 nativebac  0 3 native
  3458   -    3774482    3774874     393 nativebacarc  0 3 native
  3459   -    3774871    3777495    2625 nativebacarc  0 3 native
  3460   +    3777737    3778201     465 nativebacarc  0 3 native
  3461   +    3778568    3780334    1767 nativebacarc  0 3 native
  3462   -    3780335    3780979     645 nativebacarc  0 3 native
  3463   +    3781002    3781412     411 nativebacarc  0 3 native
  3464   -    3781501    3784797    3297 nativebacarc  0 3 native
  3465   +    3784932    3786272    1341 nativebacarc  0 3 native
  3466   +    3786314    3787489    1176 nativebacarc  0 3 native
  3467   +    3787543    3787647     105 native  0 3 native
  3468   +    3787807    3788367     561 nativebacarc  0 3 atypical
  3469   +    3788371    3788616     246 nativebac  0 3 native
  3470   +    3788621    3790048    1428 nativebacarc  0 3 native
  3471   +    3790156    3790809     654 nativebacarc  0 3 native
  3472   -    3790848    3792353    1506 bacarc  0 3 atypical
  3473   -    3792358    3793248     891 bacarc  0 3 atypical
  3474   -    3793257    3794867    1611 nativebac  0 3 native
  3475   -    3795100    3795984     885 nativebacarc  0 3 native
  3476   -    3796035    3796361     327 nativebac  0 3 native
  3477   -    3796448    3797437     990 nativebacarc  0 3 native
  3478   -    3797437    3798366     930 nativebacarc  0 3 native
  3479   -    3799243    3799635     393 nativebacarc  0 3 atypical
  3480   -    3799635    3799910     276 nativebacarc  0 3 atypical
  3481   +    3800017    3800796     780 nativebacarc  0 3 native
  3482   +    3800645    3801463     819 nativebacarc  0 3 native
  3483   +    3801653    3803848    2196 nativebacarc  0 3 native
  3484   -    3803919    3804749     831 nativebacarc  0 3 native
  3485   +    3804721    3805575     855 nativebacarc  0 3 atypical
  3486   +    3805621    3807573    1953 nativebacarc  0 3 native
  3487   -    3807574    3808437     864 nativebacarc  0 3 native
  3488   +    3808461    3809387     927 nativebacarc  0 3 native
  3489   -    3809442    3811022    1581 nativebacarc  0 3 native
  3490   -    3811022    3811636     615 nativebacarc  0 3 native
  3491   +    3811719    3812345     627 nativebacarc  0 3 native
  3492   -    3812501    3814078    1578 nativebacarc  0 3 native
  3493   -    3814090    3814998     909 nativebacarc  0 3 native
  3494   -    3815027    3816106    1080 nativebacarc  0 3 native
  3495   +    3816255    3817175     921 nativebacarc  0 3 native
  3496   +    3817239    3818027     789 nativebacarc  0 3 native
  3497   +    3818042    3820402    2361 nativebacarc  0 3 native
  3498   -    3820448    3820660     213 native  0 3 native
  3499   -    3820653    3821864    1212 nativebacarc  0 3 atypical
  3500   -    3822262    3823779    1518 nativebacarc  0 3 atypical
  3501   -    3823880    3824584     705 nativebacarc  0 3 atypical
  3502   -    3824702    3825268     567 nativebacarc  0 3 native
  3503   +    3825330    3826217     888 nativebacarc  0 3 native
  3504   +    3826273    3826551     279 nativebac  0 3 atypical
  3505   +    3826557    3826958     402 nativebacarc  0 3 native
  3506   -    3826991    3828727    1737 nativebacarc  0 3 native
  3507   -    3828783    3829910    1128 nativebacarc  0 3 native
  3508   -    3829930    3831507    1578 nativebacarc  0 3 native
  3509   +    3831726    3832136     411 nativebacarc  0 3 native
  3510   -    3832146    3833045     900 nativebacarc  0 3 native
  3511   -    3833038    3833613     576 nativebacarc  0 3 native
  3512   -    3833694    3834521     828 nativebac  0 3 native
  3513   +    3834892    3835200     309 nativebac  0 3 native
  3514   -    3835272    3836891    1620 nativebacarc  0 3 native
  3515   -    3836986    3837288     303 nativebacarc  0 3 native
  3516   -    3837555    3838589    1035 nativebacarc  0 3 native
  3517   -    3838586    3839062     477 nativebacarc  0 3 native
  3518   -    3839059    3839694     636 nativebacarc  0 3 native
  3519   -    3839691    3840197     507 nativebacarc  0 3 native
  3520   -    3840194    3841348    1155 nativebacarc  0 3 native
  3521   +    3842305    3842769     465 nativebacarc  0 3 atypical
  3522   -    3843885    3844640     756 nativebacarc  0 3 native
  3523   -    3844738    3845970    1233 nativebacarc  0 3 native
  3524   -    3846053    3846250     198 nativebac  0 3 native
  3525   +    3847279    3847701     423 nativebacarc  0 3 atypical
  3526   -    3847642    3848805    1164 nativebacarc  0 3 native
  3527   -    3848844    3848999     156 nativebac  0 3 atypical
  3528   -    3849024    3849188     165 nativebac  0 3 atypical
  3529   -    3849294    3850139     846 nativebacarc  0 3 native
  3530   -    3850372    3851733    1362 nativebacarc  0 3 native
  3531   -    3851792    3853213    1422 nativebacarc  0 3 native
  3532   -    3853215    3853928     714 nativebacarc  0 3 native
  3533   -    3853939    3854763     825 nativebacarc  0 3 native
  3534   -    3855015    3856889    1875 nativebacarc  0 3 native
  3535   +    3856986    3857387     402 nativebac  0 3 native
  3536   +    3857397    3858239     843 nativebacarc  0 3 native
